name,well,tier,price,mode,description,commission,si,region,booking_url
Aggressor Adventures,activities,prime,luxury,request-to-book,"Global dive-liveaboard and river fleet — Red Sea, Komodo, Maldives, Cocos, Galapagos, Bahamas and more. Reseller lane, CLIA-accepted; request-to-book.",Commission partner,liveaboard|expedition,,
Explorer Ventures Fleet,activities,vetted,luxury,affiliate,"Turks & Caicos, Saba/St. Kitts, Galapagos, Maldives, Indonesia and Palau — public dated schedule and live availability.",Commission partner,liveaboard,,https://www.explorerventures.com/fleet-schedules-availability/
Master Liveaboards,activities,vetted,luxury,affiliate,"11 destinations across the Red Sea, Maldives, Indonesia, Philippines, Galapagos and beyond (now trading Blue O Two's routes).",Commission partner,liveaboard,,https://www.masterliveaboards.com/
LiveAboard.com,activities,vetted,premier,affiliate,"Booking aggregator — 318 liveaboards, 23,739 cruises across every major dive region. Destination + trip-length deep links.",Affiliate partner,liveaboard,,https://www.liveaboard.com/diving/indonesia
DiveBooker,activities,vetted,premier,affiliate,Dive-travel aggregator with an affiliate iframe search widget (180-day cookie) and destination-filtered listings.,Affiliate partner,liveaboard,,https://divebooker.com/maldives-daz3922
Emperor Divers,activities,vetted,premier,affiliate,"Red Sea, Maldives, Indonesia and the Solomons — long-running fleet, sleep-above-the-reef weeks with a public availability calendar.",Commission partner,liveaboard,,https://www.emperordivers.com/liveaboards/
Scubaspa,activities,prime,luxury,affiliate,"Maldives dive-and-spa yachts — the wellness-led liveaboard, weekly north/south atoll itineraries.",Commission partner,liveaboard,,https://scubaspa.com/maldives/
Carpe Diem Maldives,activities,vetted,premier,affiliate,"Maldives fleet (Carpe Diem, Carpe Vita, Carpe Novo) — classic atoll safaris with manta and whale-shark seasons.",Commission partner,liveaboard,,https://www.carpediemmaldives.com/
La Galigo,activities,vetted,premier,affiliate,"Indonesia — Komodo, Raja Ampat and the Banda Sea aboard a traditional phinisi, with a public schedule and pricing.",Commission partner,liveaboard,,https://lagaligoliveaboard.com/schedule-pricing/
Dewi Nusantara,activities,prime,luxury,affiliate,"Indonesia luxury phinisi — Raja Ampat, Cenderawasih, Triton Bay; public dated cruise calendar. Direct site blocks automated fetch (403); book via aggregator or request-to-book.",Commission partner,liveaboard,,
Nautilus Liveaboards,activities,vetted,luxury,affiliate,"Socorro/Revillagigedo, Guadalupe and the Sea of Cortez — big-animal Pacific-Mexico liveaboards.",Commission partner,liveaboard,,https://nautilusliveaboards.com/liveaboards/
